content_id,score,action_label,reason_code,is_declining
content_cf56e2e2e282,61678,review_for_refresh,stale_high_volume_low_ctr,1
content_7368877ea310,59472,review_for_refresh,stale_high_volume_low_ctr,1
content_1bfaa38ff26c,25715,review_for_refresh,stale_high_volume_low_ctr,1
content_0a91db491d14,13299,review_for_refresh,stale_high_volume_low_ctr,1
content_5feee3994adb,7812,review_for_refresh,stale_high_volume_low_ctr,1
content_c2d929d83eaa,7558,review_for_refresh,stale_high_volume_low_ctr,1
content_b16bd7307b39,4590,review_for_refresh,stale_high_volume_low_ctr,1
content_fe16a55cd13d,4556,review_for_refresh,stale_high_volume_low_ctr,1
content_ecb6215e79fd,4429,review_for_refresh,stale_high_volume_low_ctr,1
content_928af3e22c80,1697,review_for_refresh,stale_high_volume_low_ctr,1
content_e3ff1b093148,1408,review_for_refresh,stale_high_volume_low_ctr,1
content_bdbec75c1148,1316,review_for_refresh,stale_high_volume_low_ctr,0
content_7f116ae1f6f5,954,review_for_refresh,stale_high_volume_low_ctr,1
content_77d4d5930e5e,828,review_for_refresh,stale_high_volume_low_ctr,1
content_72496874f806,821,review_for_refresh,stale_high_volume_low_ctr,1
content_6226ee6adc91,545,review_for_refresh,stale_high_volume_low_ctr,1
content_074ba6ead17b,533,review_for_refresh,stale_high_volume_low_ctr,1
